nombre,precioUnitario,unidad,precioFinal,URL,ingredientes,descripcion,categoria,marca,supermercado
Detergente líquido Green Lanta 40 lavados,"0,12€",LAVADO,"4,65€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwe15b036e/Assets/066676_C1C1/large/5/0/4/1/5041a14be8fb406866b5dc2bcdeb8a80d40bec48_066676_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Limpieza,,AHORRAMAS
Maquillaje pintalabios Rimmel Lasting Finish mate 600,"6,25€",UNIDAD,"6,25€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw13cc4124/Assets/054348_C1C1/large/8/6/7/a/867ac7cebd5c091b58b3943a98d15459a761e5c7_054348_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Cuidado personal,,AHORRAMAS
Refresco cola Coca-Cola botella 2l pack 2 zero,"0,93€",LITRO,"3,70€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw5577fd54/Assets/077576_C1C1/large/f/e/4/9/fe49d85d8bc9c12acc0f8de7c3016fefb79daf53_077576_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Bebidas,,AHORRAMAS
Turrón duro calidad suprema 250 g,"9,19",KILO,"5,59 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A07153_00.jpg?t=20241022030309,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
"Vino tinto DO Rioja crianza 0,75 l","6,95",LITRO,"13,64 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A40742_00.jpg?t=20241029030120,"Aceite de oliva, ajo, perejil, sal marina",,Bebidas,,BM
Queso semicurado Garcia Baquero cuña de 325g,"17,29€",KILO,"5,62€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwb5a85682/Assets/074942_C1C1/large/6/8/7/4/68743ed3b03af7a18b5a267222d1192d0daf3751_074942_C1C1.png?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,AHORRAMAS
Cóctel mix picoteo Alipende 250g,"5,56€",KILO,"1,39€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw4bbb8a4c/Assets/064878_C1C1/large/8/1/f/8/81f88f3f6e5bbd5a3426905134e4703505d9ba1f_064878_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,AHORRAMAS
Sándwich mixto 135 g,"17,80",KILO,"1,45 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A49571_00.jpg?t=20241108030030,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Preparado de carne picada de vacuno y cerdo Selección de Dia bandeja 900 g,6.49,KILO,7.21,,"Carne de pollo, especias, conservantes naturales",PREPARADO DE CARNE BURGUER MEAT MIXTА.,Frescos,DIA,Dia
Cava brut rosé Gran Livenza 75cl,"4,33€",LITRO,"3,25€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw667f235f/Assets/032148_C1C1/large/8/e/e/5/8ee52329dfc5eba3df1bf713aa913c3fe3dcf80d_032148_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Bebidas,,AHORRAMAS
Helado sandwich nata y chocolate 6 unidades,"3,09",LITRO,"2,05 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-frozen.png?ts=1731159371,"Cacao amargo, avellanas, aceite de palma, edulcorante",,Alimentacion,,BM
Bolsas de congelación doble zip 1 litro Super Paco de Dia caja 20 unidades,1.2,UNIDAD,0.06,,"Aceite de oliva, ajo, perejil, sal marina",,Hogar,DIA,Dia
Bloc de pato en medallón 80 g,"3,99",100 GR,"5,99 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A25041_00.jpg?t=20241103030003,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Salsa boloñesa con 100% carne de vacuno 380 g,"6,95",KILO,"1,99 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A02736_00.jpg?t=20241022030323,"Carne de cerdo, sal, pimienta, ajo en polvo",,Frescos,,BM
Tortitas de maíz Naturmundo de Dia bolsa 130 g,1.25,KILO,9.62,,"Frutas deshidratadas, jarabe de agave, nueces",Tortitas de maíz,Alimentacion,DIA,Dia
Tinto de verano clásico Dia botella 1.5 l,1.2,LITRO,0.8,,"Harina de maíz, agua, sal, antioxidantes",Bebida a base de vino con zumo de uva. Con azúcar y edulcorantes,Bebidas,DIA,Dia
Crema vinagre de módena sin azúcares añadidos Vulpi botella 400 ml,1.99,LITRO,4.98,,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,DIA,Dia
"Vino blanco DO Rioja 0,75 l","6,95",LITRO,"6,10 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A02911_00.jpg?t=20241106030132,"Frutas deshidratadas, jarabe de agave, nueces",,Bebidas,,BM
Polo mix de sabores 5 unidades,"7,99",LITRO,"4,99 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-frozen.png?ts=1731159348,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Chocolate relleno de avellana caramelizada y galleta Temptation de Dia 100 g,1.29,KILO,12.9,,"Cacao amargo, avellanas, aceite de palma, edulcorante",Chocolate con leche (60%) relleno de avellana caramelizada y galleta.,Alimentacion,DIA,Dia
Yofur bífidus triple 0 con melocotón 4x120 g,"6,95",KILO,"2,49 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-new-arrival.png?ts=1731158717,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Fuet espetec Casa Tarradellas pieza 180g,"13,83€",KILO,"2,49€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwe94063be/Assets/041739_C1C1/large/a/d/6/c/ad6ca2337cd6992bdf42e6495feec389de6111fe_041739_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Frescos,,AHORRAMAS
Turrón de chocolate con almendras 260 g,"8,45",KILO,"3,99 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A04263_00.jpg?t=20241024030204,"Leche en polvo, cacao, azúcar, almendras",,Alimentacion,,BM
Pastel de cabracho artesano 400 g,"8,45",KILO,"5,49 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-localMarket.png,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Sardinilla en aceite de girasol 88 g,"10,70",KILO,"1,05 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A88048_00.jpg?t=20241106030013,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Lechuga viva trocadero verde 1ud,"15,44€",KILO,"1,93€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwd81f41a8/Assets/027510_C1C1/large/a/d/b/9/adb905b3601309ae89d85fa18f362d02af600a97_027510_C1C1.JPG?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Frescos,,AHORRAMAS
Salchichón ibérico al corte,"29,90",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731156019,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Batido Alipende pack 6 vainilla200ml,"1,17€",LITRO,"1,40€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwd8cb8199/Assets/082359_C1C1/large/9/9/6/2/9962dc06c247b7996263f2caf9d569849a5e4fce_082359_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Lacteos,,AHORRAMAS
"Tortitas de arroz integral con chocolate blanco, almendra y canela Bicentury bolsa 138 g",2.95,KILO,21.38,,"Cacao, azúcar, manteca de cacao, vainilla","Tortita de maíz con chocolate blanco, almendra y canela. sin gluten",Alimentacion,DIA,Dia
Bolsa de algodón azul Dia 1 unidad,1.99,UNIDAD,1.99,,"Harina de maíz, agua, sal, antioxidantes",,Hogar,DIA,Dia
Galleta tosta rica bañada en chocolate 210 g,"9,95",KILO,"3,29 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A64641_00.jpg?t=20241106030047,"Cacao, azúcar, manteca de cacao, vainilla",,Alimentacion,,BM
Refresco de té al melocotón zero Upss Dia Dia botella 1.5 l,0.99,LITRO,0.66,,"Aceite de oliva, ajo, perejil, sal marina",Bebida refrescante de extractos. Con edulcorante. *Sin azúcares añadidos.,Bebidas,DIA,Dia
Funko Pop pack 4 Harry Potter Harry In Robe,"7,99€",UNIDAD,"7,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwbedaedae/Assets/062922_C1C1/large/8/c/c/a/8ccaf23833fa35ef9e6debc333669b1f7e318384_062922_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Hogar,,AHORRAMAS
Canelones de carne 500 g,"12,24",KILO,"2,95 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-frozen.png?ts=1731159409,"Carne de cerdo, sal, pimienta, ajo en polvo",,Frescos,,BM
Salsa katsu curry 370 g,"6,95",KILO,"5,39 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A67915_00.jpg?t=20241106030028,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Brotes Gourmet 100 g,"11,60",KILO,"1,99 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A72602_00.jpg?t=20241108030154,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Mollejas de pollo Alipende 450g aproximadamente,"5,27€",Kg,"2,37€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw6f4a0402/Assets/075151_C1C1/large/3/e/2/d/3e2d07e12f9c1c79fa09d23a51d0ea7628338479_75151_C1C1.JPG?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Frescos,,AHORRAMAS
Ginebra Barmon's botella 70 cl,5.99,LITRO,8.56,,"Harina de maíz, agua, sal, antioxidantes",,Bebidas,DIA,Dia
Bocaditos de cacao Mandul bolsa 210 g,1.25,KILO,5.95,,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,DIA,Dia
Preparado para tarta de queso 335 g,"37,50",KILO,"4,05 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A05229_00.jpg?t=20241106030347,"Aceite de oliva, ajo, perejil, sal marina",,Lacteos,,BM
Bruma glow cuerpo y cabello frosted TFC 200ml monoi pistacho y caramelo,"2,00€",100 ML.,"3,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw7f01f4d2/Assets/081703_C1C1/large/f/7/b/c/f7bcf876ecc911ee4227af71a24bda945f921ef4_8436559718677.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Cuidado personal,,AHORRAMAS
Bombón Ferrero Rocher 16u,"29,45€",KILO,"5,89€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwc90696a6/Assets/032730_C1C1/large/7/3/1/7/73176037ce8068135ef3215a7385005cfd87c03a_032730_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,AHORRAMAS
"Vino blanco 0,75 l","6,95",LITRO,"2,61 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A09484_00.jpg?t=20241009030032,"Frutas deshidratadas, jarabe de agave, nueces",,Bebidas,,BM
Vuna Garden Gourmet 175g,"28,29€",KILO,"4,95€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwd66ebd9a/Assets/069816_C1C1/large/d/c/c/9/dcc92465af5d26d926a6e20b0dd13e4faab5a960_069816_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,AHORRAMAS
Pimiento del piquillo ecológico 290 g,"22,43",KILO,"4,41 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-eco.svg,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
"Bebida de avena, plátano y coco Vianature 750ml","3,32€",LITRO,"2,49€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw3091875e/Assets/065759_C1C1/large/2/c/9/5/2c957df5782036f1237cbda6f96cb916ca5b7cd7_065759_C1C1.jpg?sw=400&sh=900&sm=fit,"Agua, malta de cebada, lúpulo, levadura",,Bebidas,,AHORRAMAS
Flan de vainilla Caprichoso Dia pack 6 x 100 g,0.99,KILO,1.65,,"Frutas deshidratadas, jarabe de agave, nueces",Postre lácteo sabor vainilla con caramelo.,Lacteos,DIA,Dia
"Ginebra 0,7 l","6,95",LITRO,"28,35 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A49288_00.jpg?t=20241107030046,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Surtido de caramelos 200 g,"37,50",KILO,"2,49 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A75320_00.jpg?t=20241107030146,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Tomate triturado Celorrio 390g,"1,67€",KILO,"0,65€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw9a0949c1/Assets/084205_C1C1/large/f/a/a/4/faa4745aa494a3dedcb3340dce6b2f29d4d2ab7d_084205_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,AHORRAMAS
Leche fresca La Colmenareña 1l semidesnatada,"1,46€",LITRO,"1,46€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwe57ab7dd/Assets/024269_C1C1/large/c/5/6/1/c561318c097aeb2e63662e9510979db4bf761205_024269_C1C1.jpg?sw=400&sh=900&sm=fit,"Leche entera pasteurizada, fermentos lácticos",,Lacteos,,AHORRAMAS
San jacobo pollo y pavo Aldelis 340g,"11,74€",KILO,"3,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwdefd794b/Assets/067741_C1C1/large/9/d/2/3/9d23c776bceff814f74ac3ba5839fc48f7abbb5a_067741_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Frescos,,AHORRAMAS
Ambientador eléctrico Lanta recambio frutos rojos,"6,40€",100 ML.,"1,60€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw9b3490df/Assets/085103_C1C1/large/3/d/3/9/3d3919a4ba526037a90795ed5e19726f0d468332_085103_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Limpieza,,AHORRAMAS
Pechugas enteras de pollo Selección de Dia bandeja 600 g aprox.,4.19,KILO,6.99,,"Frutas deshidratadas, jarabe de agave, nueces",Pechugas enteras.,Frescos,DIA,Dia
Fideos orientales pollo Gallina Blanca yatekomo 60g,"25,83€",KILO,"1,55€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwca00020a/Assets/03494_C1C1/large/0/c/a/2/0ca276eba100206a85b5abf23f0c7af53408d89e_03494_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,AHORRAMAS
"Mix de semillas para ensalada, 250 g","23,25",KILO,"2,09 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-eco.svg,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Filete de cabracho congelado a granel,"14,99",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-frozen.png?ts=1731159348,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,BM
Albóndigas de pollo Selección de Dia bandeja 420 g,3.79,KILO,9.02,,"Aceite de oliva, ajo, perejil, sal marina",ALBÓNDIGAS DE POLLO. PREPARADO DE CARNE.,Frescos,DIA,Dia
Jamón curado selección en lonchas ElPozo 80 + 15 gr,"18,75€",KILO,"1,50€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw770405e1/Assets/019440_C1C1/large/e/3/3/8/e338b6372b5472e35eb3932615093a0006bf2111_019440_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,AHORRAMAS
Máquina de depilar Venus Gillette Sensitive,"5,99€",UNIDAD,"5,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwa46c07d6/Assets/062962_C1C1/large/9/b/c/2/9bc2628db983ec8ca0c39ef473047ac8d501a55a_062962_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Cuidado personal,,AHORRAMAS
"Entrecot de vaca (pieza 1,7Kg aprox)","22,90",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731156219,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Sardina ahumada Don Felix 80g,"28,75€",KG.PESO ESC,"2,30€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwd7acced7/Assets/0297_C1C1/large/f/2/c/5/f2c5ca4cd928a011ffadea9390d997dd070a364d_0297_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,AHORRAMAS
Mascarilla capilar hidratante Fructis 390ml hair food aloe vera,"1,78€",100 ML.,"6,95€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw0120ffca/Assets/042864_C1C1/large/1/d/8/2/1d827efc02fce183dfcba57015d98ae62a8e0d89_042864_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Cuidado personal,,AHORRAMAS
Ventresca bonito Alipende 73g en aceite oliva,"77,40€",KG.PESO ESC,"5,65€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwda1de271/Assets/047592_C1C1/large/8/f/e/f/8feff20b2c970d62a80d6b8e156f98575aa9b17e_047592_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,AHORRAMAS
Chorizo cocido barbacoa 200 g,"14,95",KILO,"2,99 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A72391_00.jpg?t=20241109030101,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Panty Goldenergy 40D Golden Lady Talla M Melón,"5,95€",UNIDAD,"5,95€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw2cfe40f6/Assets/017808_C1C1/large/b/4/4/6/b44664e6796a12e172277757279b4878ceb0c386_017808_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de trigo, agua, levadura, sal",,Hogar,,AHORRAMAS
Refresco de cola botella 2 l,"6,95",LITRO,"0,80 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A08059_00.jpg?t=20241106030101,"Frutas deshidratadas, jarabe de agave, nueces",,Bebidas,,BM
Yogur estilo griego Danone pack 4 stracciatella,"3,20€",KILO,"1,41€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw7a842faf/Assets/072468_C1C1/large/e/2/a/f/e2af15c265f802b816e80c99376fe66d4396eb26_072468_C1C1.jpg?sw=400&sh=900&sm=fit,"Leche de almendras, azúcar, estabilizantes, sal",,Lacteos,,AHORRAMAS
Vino blanco DO Rueda Saga verdejo,"2,53€",LITRO,"1,90€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw85056d9b/Assets/026307_C1C1/large/f/7/b/6/f7b64cf7518d706b2924bf51342c8df7cbd3dce4_026307_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Bebidas,,AHORRAMAS
Queso provolone con orégano Selección Mundial de Dia bolsa 150 g,1.8,KILO,12.0,,"Frutas deshidratadas, jarabe de agave, nueces",Queso madurado dulce con orégano,Frescos,DIA,Dia
Hamburguesa de vacuno ecológico baja en grasa Selección de Dia bandeja 150 g,1.99,KILO,13.27,,"Frutas deshidratadas, jarabe de agave, nueces",Hamburguesa de vacuno ecológico baja en grasa. Preparado de carne.,Frescos,DIA,Dia
Arroz integral Brillante pack 2,"5,00€",KILO,"1,25€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw3a03248d/Assets/070958_C1C1/large/8/f/3/6/8f362c0b58554c96a73e6d549b1de8a5cd87374c_070958_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,AHORRAMAS
Cera peinado Llongueras 85 ml Men Advance,"7,05€",100 ML.,"5,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw029d783c/Assets/08411126020599_C1C1/large/7/9/1/3/7913ba2abb0ee53da772373008fa37efe9e0fe2f_08411126020599_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Cuidado personal,,AHORRAMAS
Chocolate puro con almendras sin azúcares 150 g,"8,45",KILO,"3,40 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A10359_00.jpg?t=20241109030127,"Leche en polvo, cacao, azúcar, almendras",,Alimentacion,,BM
Patata granel unidad (240 g aprox),"1,79",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731155999,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Jamón de cebo ibérico 50% raza IB. Supreme de placeres 80 gr,"52,38€",KILO,"4,19€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw5f75bf7e/Assets/069988_C1C1/large/b/1/9/9/b199745823a9ed266141703ab2ff10bdec6f5209_069988_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Frescos,,AHORRAMAS
Maquillaje corrector de ojeras borrador Maybelline nude 02,"11,50€",UNIDAD,"11,50€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw08be32b5/Assets/039065_C1C1/large/8/6/b/f/86bfa9618c2e7d0914b657a7429279626e5aea7b_039065_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Cuidado personal,,AHORRAMAS
Garbanzos cocidos extra Vegecampo de Dia frasco 210 g,0.65,KILO,3.1,,"Frutas deshidratadas, jarabe de agave, nueces",Garbanzos cocidos. Categoría extra.,Alimentacion,DIA,Dia
Champú anticaspa prevención de la caída H&s botella 250 ml,3.49,,,,"Aceite de oliva, ajo, perejil, sal marina",,Cuidado personal,DIA,Dia
Champú Instit.Español 300Ml Piel Atópica,"1,66€",100 ML.,"4,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw4cf2d49a/Assets/022708_C1C1/large/e/6/2/9/e629757e5c2b19ea18e9231cfc719320a3a066c0_022708_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Cuidado personal,,AHORRAMAS
Cambiador infantil Planeta Bebé de Dia bolsa 10 unidades,4.15,UNIDAD,0.42,,"Harina de maíz, agua, sal, antioxidantes",,Bebe,DIA,Dia
Aguacate a granel unidad (250 g aprox),"5,99",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731156115,"Harina de maíz, agua, sal, antioxidantes",,Bebidas,,BM
Petit Danonino pack 6 fresa y plátano,"4,97€",KILO,"1,49€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw7ba6abab/Assets/06218_C1C1/large/6/6/1/2/6612e67cafd8ee38d6a72ea93935c27e927ca064_06218_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Lacteos,,AHORRAMAS
Pan integral 100% con masa madre 390 g,"14,60",KILO,"3,05 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A61765_00.jpg?t=20241002030122,"Harina integral, aceite de oliva, semillas, sal",,Alimentacion,,BM
Papel higiénico ecológico Lanta 6 rollos doble rollo,"0,40€",UNIDAD,"2,40€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwb1af99e6/Assets/080964_C1C1/large/6/8/9/7/6897218bf17a5b6da712dfb9233937d5266710e9_080964_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Limpieza,,AHORRAMAS
Arroz basmati Brillante vaso 2 x 125 g,1.34,KILO,5.36,,"Harina de maíz, agua, sal, antioxidantes",Arroz Basmati,Alimentacion,DIA,Dia
Colonia Denenes infantil 600ml muy suave con aceites esenciales naturales,"0,69€",100 ML.,"4,15€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwa1f8aa6b/Assets/078009_C1C1/large/3/b/2/9/3b295140687daaf0a3449ef8fc797f9a71e81831_078009_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Cuidado personal,,AHORRAMAS
Salchichón ibérico extra en lonchas,"32,45",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731156377,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Ensalada césar barqueta 205 g,"4,95",KILO,"2,79 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A23720_00.jpg?t=20241109030051,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Harina 100% de maíz blanco Pan bolsa 1 Kg,2.59,KILO,2.59,,"Harina integral, aceite de oliva, semillas, sal",Harina de maíz blanco precocida,Alimentacion,DIA,Dia
Ventresca de atún con aceite de oliva 120 g,"10,70",KILO,"3,30 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A87974_00.jpg?t=20241106030340,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
